epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2219.82,0.87784,0.43779,0.84842,0.64282,0.56204,0.53592,0.26421,2.01027,1.31928,1.16073,0.000742625,0.000742625,0.000742625
43,2272.51,0.86363,0.43585,0.8465,0.61535,0.63412,0.55307,0.2898,1.88913,1.2847,1.09464,0.00073025,0.00073025,0.00073025
44,2323.19,0.87455,0.43711,0.84686,0.65527,0.54587,0.51688,0.24959,1.98586,1.39132,1.14852,0.000717875,0.000717875,0.000717875
45,2376.12,0.87233,0.4361,0.84449,0.61591,0.58785,0.51907,0.2732,1.90199,1.48675,1.09665,0.0007055,0.0007055,0.0007055
46,2428.69,0.84564,0.42593,0.84406,0.51149,0.55562,0.4923,0.25482,1.93093,1.44358,1.1248,0.000693125,0.000693125,0.000693125
47,2481.2,0.86412,0.43226,0.84809,0.6776,0.56718,0.55728,0.27823,1.91291,1.28778,1.10916,0.00068075,0.00068075,0.00068075
48,2532.39,0.85586,0.43145,0.84496,0.6543,0.54159,0.5157,0.27559,1.92492,1.45765,1.13294,0.000668375,0.000668375,0.000668375
49,2584.88,0.83839,0.42498,0.84183,0.66916,0.55144,0.4729,0.25146,1.91067,1.80001,1.11933,0.000656,0.000656,0.000656
50,2637.32,0.83785,0.42394,0.8411,0.73229,0.60277,0.58793,0.29522,1.91475,1.21667,1.11803,0.000643625,0.000643625,0.000643625
51,2688.08,0.84414,0.42273,0.84277,0.52563,0.59494,0.53518,0.28253,1.88493,1.38948,1.10126,0.00063125,0.00063125,0.00063125
52,2741.84,0.82689,0.41496,0.84048,0.58787,0.56648,0.49837,0.25672,1.99643,1.47058,1.16942,0.000618875,0.000618875,0.000618875
53,2795.3,0.83214,0.41794,0.84221,0.70786,0.59289,0.5823,0.29486,1.92406,1.17769,1.12493,0.0006065,0.0006065,0.0006065
54,2847.55,0.82387,0.41407,0.83972,0.6174,0.5186,0.43034,0.23494,1.9581,2.01116,1.14937,0.000594125,0.000594125,0.000594125
55,2899.03,0.81692,0.41409,0.83918,0.64933,0.50245,0.48156,0.24797,1.99012,1.62338,1.16154,0.00058175,0.00058175,0.00058175
56,2951.26,0.81251,0.41632,0.83696,0.54841,0.52362,0.43359,0.2373,1.92437,2.18099,1.1286,0.000569375,0.000569375,0.000569375
57,3003.48,0.82066,0.41199,0.83999,0.518,0.57104,0.48691,0.2617,1.9563,1.5615,1.14662,0.000557,0.000557,0.000557
58,3055.42,0.80274,0.40828,0.83802,0.76342,0.54753,0.58515,0.30833,1.88894,1.19367,1.10724,0.000544625,0.000544625,0.000544625
59,3106.91,0.8008,0.40559,0.83541,0.70138,0.53447,0.55545,0.28904,1.91522,1.32621,1.12282,0.00053225,0.00053225,0.00053225
60,3159.21,0.80133,0.40309,0.83673,0.73135,0.5516,0.53712,0.27828,1.94486,1.40315,1.1389,0.000519875,0.000519875,0.000519875
61,3211.65,0.79248,0.40006,0.83512,0.70071,0.51592,0.49331,0.253,1.91984,1.53911,1.1065,0.0005075,0.0005075,0.0005075
